Species,Location_Latitude,Location_Longitude,Heart_Rate_BPM_Normal,Heart_Rate_BPM_Stress,Respiration_Rate_BPM_Normal,Respiration_Rate_BPM_Stress,Oxygen_Level_Percentage_Normal,Oxygen_Level_Percentage_Stress,Movement_Speed_kmh_Normal,Movement_Speed_kmh_Stress,Vocalization_Level_dB_Normal,Vocalization_Level_dB_Stress,Anomaly_Flag
Bird,37.97858,-106.42631,66,128,15,36,95.7,91.4,1.81,12.03,39.6,68.7,High Stress
Squirrel,38.02156,-100.02083,64,169,18,30,97.0,90.1,2.71,17.8,35.8,70.9,High Stress
Snake,36.02266,-96.53388,67,131,13,40,96.7,87.9,0.63,12.65,48.7,61.1,High Stress
Wild Boar,38.24949,-117.52741,59,156,14,26,98.6,89.3,3.81,25.31,46.7,64.4,High Stress
Raccoon,45.39733,-106.85578,95,126,20,26,97.3,92.5,0.64,22.55,43.9,68.6,Normal
Snake,46.92389,-111.60975,50,122,17,31,98.4,89.1,1.68,21.45,37.3,78.2,Normal
Hedgehog,45.52841,-98.57203,53,170,18,33,95.5,89.3,0.95,15.9,44.7,75.0,Moderate Stress
Bird,47.11108,-92.63024,87,176,20,35,97.9,88.5,3.88,14.73,39.5,73.4,Normal
Bird,34.31412,-102.22335,78,157,17,27,97.3,89.0,1.72,10.94,48.2,68.6,Moderate Stress
Rabbit,47.49722,-114.44009,78,131,13,33,97.7,85.8,0.79,26.01,46.2,62.7,Moderate Stress
Snake,35.62849,-91.90663,94,133,19,39,96.9,87.7,1.43,18.86,43.4,74.1,High Stress
Wild Boar,47.03098,-98.407,66,129,10,29,96.2,92.1,3.52,21.18,36.2,79.8,High Stress
Wolf,43.85466,-108.7552,98,142,18,25,95.3,88.2,3.79,10.22,35.5,71.9,High Stress
Wolf,43.98219,-92.79331,65,165,20,32,98.1,93.3,2.95,14.67,37.9,65.9,High Stress
Hedgehog,35.32422,-107.17927,65,123,11,27,96.0,88.9,0.8,16.83,48.2,66.5,Normal
Hedgehog,46.16617,-97.1355,58,177,15,28,97.9,88.2,2.4,18.31,38.4,79.4,Normal
Raccoon,34.61773,-119.03723,99,178,16,37,98.8,87.2,1.55,14.5,43.6,70.9,Normal
Fox,44.56366,-105.32863,62,170,10,35,98.5,91.4,4.16,15.49,45.8,66.3,Moderate Stress
Wolf,34.97067,-109.3566,58,123,18,29,98.7,90.8,4.24,19.02,37.1,66.4,High Stress
Deer,45.29983,-116.84392,70,142,13,38,96.5,85.6,2.05,17.74,41.1,62.4,Normal
Deer,41.66286,-95.57174,65,155,16,37,97.5,90.9,0.78,16.98,44.2,67.3,Normal
Hedgehog,43.65508,-104.09518,80,169,13,33,96.7,92.7,1.33,27.74,49.5,66.3,Moderate Stress
Deer,35.73234,-92.32973,56,166,17,33,99.0,91.0,3.43,15.15,50.0,60.2,Moderate Stress
Deer,44.55237,-102.7638,74,180,15,36,95.5,89.1,2.81,22.47,43.8,80.0,High Stress
Fox,45.60022,-96.17536,98,161,16,31,95.9,87.4,3.12,11.46,45.8,78.5,Moderate Stress
Raccoon,46.20373,-92.91705,79,156,20,31,96.1,93.0,0.82,12.06,35.9,69.4,Normal
Snake,34.66909,-94.0504,75,149,16,34,97.9,93.4,3.99,22.95,42.1,66.4,Moderate Stress
Squirrel,46.6851,-101.05569,64,150,20,31,98.9,89.2,1.23,15.0,36.2,75.3,Normal
Squirrel,39.27899,-112.57037,69,138,12,25,95.1,90.5,3.88,13.49,43.3,67.8,High Stress
Snake,45.48883,-98.16942,51,159,12,35,95.2,88.6,4.92,12.64,32.1,66.4,High Stress
Fox,45.88952,-116.00952,90,180,16,33,99.0,85.5,2.27,22.88,45.8,68.0,High Stress
Fox,47.52965,-110.5879,70,158,14,35,98.6,88.2,0.91,11.84,44.9,75.3,Normal
Wild Boar,35.49113,-101.82032,65,121,16,36,97.6,86.9,4.79,29.29,48.1,65.9,Moderate Stress
Wild Boar,34.81809,-101.17218,88,174,11,37,97.4,88.2,1.83,22.02,47.2,69.2,Normal
Bird,39.01658,-104.83318,77,145,18,33,96.1,92.3,3.58,25.55,38.1,73.7,High Stress
Wolf,37.11837,-107.27323,97,132,11,30,96.3,90.8,0.89,16.2,30.6,67.4,Moderate Stress
Fox,37.75496,-102.39762,71,156,18,37,96.5,86.9,1.15,15.57,39.7,70.1,Normal
Rabbit,46.8371,-114.44289,68,157,12,31,96.3,93.6,4.94,21.85,32.6,73.6,Moderate Stress
Snake,42.78244,-96.47875,67,150,12,31,97.4,90.1,0.59,13.41,37.2,70.4,Moderate Stress
Wolf,41.00099,-99.78296,93,130,11,26,97.5,93.0,2.77,10.63,47.7,64.5,Moderate Stress
Hedgehog,47.0516,-114.12907,99,151,18,35,95.9,92.0,3.88,22.68,40.7,79.9,High Stress
Hedgehog,46.78353,-107.02204,92,179,11,36,95.4,90.3,4.14,28.72,32.6,78.6,Normal
Bird,46.32291,-93.55035,82,143,10,36,97.9,92.5,2.51,29.59,35.1,77.4,Normal
Raccoon,46.49232,-104.66749,98,179,13,27,96.3,91.1,2.92,12.86,37.8,63.2,Normal
Snake,40.8704,-97.0047,82,135,15,25,97.0,93.3,4.79,19.36,31.1,78.2,Normal
Deer,47.33461,-105.5542,95,132,17,26,98.7,93.8,0.5,13.47,43.2,71.6,Normal
Bird,35.26416,-109.49662,51,163,12,39,96.4,93.5,1.81,28.09,35.3,69.5,High Stress
Raccoon,44.22267,-94.81653,59,141,18,35,97.6,90.9,1.81,10.53,40.4,75.2,Moderate Stress
Rabbit,38.13776,-107.5976,69,174,18,33,95.7,93.0,0.83,17.44,33.5,79.4,High Stress
Fox,38.92572,-100.25088,88,156,13,29,96.3,92.9,3.39,16.02,48.6,65.4,High Stress
Fox,46.96963,-116.93799,99,154,18,34,95.3,90.5,2.47,21.97,36.6,66.1,High Stress
Bird,42.77234,-108.45943,91,161,18,31,98.6,89.5,2.07,10.33,44.7,70.6,Normal
Snake,37.52791,-102.2968,51,165,14,31,96.7,88.1,3.06,20.83,41.4,79.7,Normal
Raccoon,42.69275,-113.24839,53,175,16,33,96.9,90.0,1.41,28.18,37.1,63.2,Normal
Bird,34.72751,-114.21504,86,153,14,38,98.4,85.4,3.82,17.31,34.4,73.2,Normal
Raccoon,42.81066,-114.70886,76,159,16,27,97.6,88.3,1.24,21.2,32.1,68.0,High Stress
Fox,38.85309,-111.82017,69,158,10,38,95.6,92.6,1.71,10.62,47.7,77.6,Normal
Raccoon,47.23435,-96.31479,81,161,16,28,95.0,88.9,3.87,22.75,44.2,69.7,Normal
Wild Boar,36.79067,-98.392,95,123,19,30,98.6,89.0,2.72,12.96,35.4,71.6,Moderate Stress
Wolf,42.58575,-104.14516,96,176,11,36,97.4,85.1,2.16,26.69,33.8,65.1,Moderate Stress
Deer,47.18934,-90.71841,76,180,17,34,96.2,93.7,4.39,16.76,44.5,65.3,High Stress
Fox,39.29214,-103.50803,59,149,20,34,95.0,92.8,3.8,29.93,35.2,69.1,Moderate Stress
Hedgehog,47.28524,-103.22368,57,161,17,34,97.1,87.4,2.82,11.21,49.6,73.0,Moderate Stress
Wild Boar,47.21817,-96.89795,78,170,15,30,95.5,87.5,2.88,24.1,41.5,78.2,Moderate Stress
Fox,36.16625,-114.33865,51,148,11,28,97.3,89.9,4.94,25.56,49.8,77.6,Normal
Wild Boar,34.74012,-118.48594,86,167,14,29,95.5,86.5,1.13,19.69,49.9,61.3,High Stress
Fox,47.25704,-116.48403,65,155,20,25,95.4,92.3,4.24,11.88,42.7,77.8,Normal
Squirrel,40.10731,-98.14531,66,148,20,35,97.4,89.8,4.87,14.97,31.8,64.2,Moderate Stress
Deer,43.27277,-110.94652,92,150,12,39,96.7,87.2,3.26,11.01,49.2,61.4,High Stress
Raccoon,47.19652,-102.13592,72,144,19,38,97.7,90.8,0.87,20.5,36.8,71.9,Normal
Deer,38.26936,-102.20031,86,137,10,37,97.2,87.2,1.14,12.7,32.1,61.2,Normal
Fox,40.6116,-100.52227,54,159,10,37,97.3,91.7,4.17,14.21,38.3,69.2,Moderate Stress
Bird,41.04922,-119.86781,57,143,13,29,97.8,92.5,0.84,21.63,43.1,69.4,High Stress
Wolf,43.02347,-117.83555,97,175,15,35,97.0,89.6,3.15,11.11,36.8,71.8,High Stress
Fox,45.97489,-112.66153,64,137,19,36,97.6,86.7,2.72,11.84,49.4,62.1,High Stress
Deer,41.2279,-108.91139,78,144,15,28,97.9,93.0,1.71,25.51,33.0,73.6,Normal
Rabbit,39.4325,-111.47148,85,164,13,36,95.7,92.0,4.31,16.22,47.5,74.1,Moderate Stress
Hedgehog,42.35201,-104.3508,78,151,19,28,97.2,93.0,1.67,25.75,32.9,70.5,High Stress
Deer,38.51686,-95.33282,84,177,11,35,98.9,93.1,0.6,25.16,33.2,77.4,Moderate Stress
Raccoon,41.31745,-108.12893,94,137,17,29,98.5,85.5,4.65,12.73,37.9,74.7,High Stress
Raccoon,34.33731,-109.61974,98,134,19,36,98.0,90.5,1.94,24.74,35.4,65.6,Moderate Stress
Deer,41.7209,-116.65562,72,160,16,32,96.1,90.3,4.54,22.51,40.9,65.1,Moderate Stress
Raccoon,41.70885,-109.97248,84,177,12,34,97.5,91.1,1.96,12.57,44.2,74.8,Moderate Stress
Squirrel,43.07816,-104.70773,73,145,16,27,95.2,88.6,3.81,12.9,43.3,67.1,High Stress
Deer,41.80349,-118.50851,81,155,20,38,95.1,89.3,1.55,24.94,47.1,67.4,Moderate Stress
Raccoon,42.94604,-104.95004,96,155,13,36,97.2,90.3,1.87,26.67,46.5,72.5,Normal
Wolf,44.84388,-101.67892,93,168,19,39,98.0,87.6,1.52,24.33,44.0,76.0,High Stress
Bird,35.28367,-96.37168,72,138,13,32,98.0,93.6,4.49,27.32,34.7,78.1,Moderate Stress
Raccoon,41.96902,-98.38705,88,161,15,27,97.3,88.5,1.95,17.29,36.9,78.0,Moderate Stress
Bird,34.99072,-100.91207,95,153,11,39,98.7,89.9,2.85,20.82,46.9,73.8,High Stress
Fox,37.05391,-119.44303,83,151,17,30,96.3,86.7,3.46,25.47,46.4,80.0,High Stress
Deer,39.23452,-113.93126,52,137,10,25,98.2,93.9,2.01,11.18,31.4,76.0,High Stress
Deer,40.90306,-118.59207,71,166,13,30,95.6,90.3,4.52,13.36,47.2,72.6,Moderate Stress
Wild Boar,46.39179,-119.95238,73,150,14,36,98.8,89.0,4.27,12.44,43.5,75.9,Moderate Stress
Wild Boar,43.84039,-92.00573,70,173,15,25,97.1,85.0,3.87,27.73,49.6,72.8,Normal
Squirrel,41.87606,-104.55732,69,154,13,25,98.9,85.1,3.16,18.57,47.8,66.6,High Stress
Wild Boar,43.11717,-119.13504,51,156,14,28,98.8,91.3,2.13,25.21,47.1,61.1,Moderate Stress
Rabbit,41.61996,-109.86691,72,125,18,40,97.1,87.6,2.72,12.38,44.3,65.8,High Stress
Rabbit,38.63626,-111.34937,81,120,18,32,96.4,85.7,3.55,19.48,36.3,70.5,Normal
Raccoon,46.35196,-117.24314,83,158,20,28,97.1,90.3,3.5,20.6,32.5,70.0,Normal
Snake,45.51722,-107.38972,58,172,14,35,97.0,86.7,4.13,23.44,39.3,61.1,High Stress
Raccoon,44.82198,-102.28085,100,144,18,39,97.3,86.3,2.72,15.42,44.0,70.3,Normal
Squirrel,46.24614,-95.56672,67,135,10,30,98.6,86.1,2.01,22.57,45.0,64.8,High Stress
Rabbit,44.36014,-95.88316,77,176,12,30,96.9,87.4,1.28,24.67,32.5,72.3,High Stress
Raccoon,40.6412,-118.05772,64,144,19,30,95.9,92.2,2.0,13.93,35.5,75.1,Moderate Stress
Wolf,37.56124,-108.867,84,164,20,32,96.2,86.0,2.93,25.11,45.8,79.8,Normal
Bird,45.0037,-110.61998,69,135,18,27,95.3,90.0,0.93,20.8,40.8,69.6,High Stress
Rabbit,34.13569,-92.37027,52,160,13,39,96.6,88.9,4.92,28.8,45.0,62.3,Moderate Stress
Hedgehog,38.47528,-117.96061,61,172,11,29,95.1,85.5,4.55,28.8,43.3,69.7,Moderate Stress
Raccoon,39.55853,-113.51217,77,174,18,37,95.5,91.7,2.72,28.04,38.5,70.3,High Stress
Bird,37.65783,-111.90142,94,178,14,28,95.8,86.2,1.79,16.08,32.5,60.2,Moderate Stress
Wolf,36.86675,-117.39354,88,152,11,39,97.7,85.2,3.31,24.73,38.3,74.3,Moderate Stress
Raccoon,34.87613,-103.84758,70,140,11,34,95.5,90.2,3.0,10.26,47.7,62.2,Normal
Rabbit,34.12195,-95.71617,67,176,15,38,96.3,89.8,4.57,19.21,38.4,73.4,Moderate Stress
Bird,45.98493,-99.90086,80,166,20,28,95.4,88.8,0.74,27.06,42.6,64.6,High Stress
Bird,44.83892,-90.18644,100,162,16,32,98.0,92.6,1.47,12.2,41.2,63.4,High Stress
Hedgehog,42.10913,-117.97865,93,178,14,36,97.3,92.5,2.78,27.89,46.0,63.8,High Stress
Deer,39.21112,-106.05577,68,151,16,33,97.0,89.5,4.83,16.26,48.1,66.4,Moderate Stress
Bird,37.22459,-99.76819,85,168,15,40,97.5,88.2,0.93,26.64,41.1,73.4,Moderate Stress
Deer,43.26268,-94.41008,74,127,11,27,98.1,90.1,4.11,14.17,49.5,61.0,Moderate Stress
Bird,39.90058,-112.98297,55,168,15,29,97.8,88.2,3.92,11.41,41.2,74.4,High Stress
Wolf,45.43054,-115.53603,90,148,14,34,97.4,85.0,1.53,22.72,47.3,66.8,Normal
Deer,42.41183,-90.72274,62,172,12,38,97.3,85.3,1.26,11.97,31.1,75.1,Normal
Deer,43.21324,-108.77182,97,180,12,40,97.9,87.8,4.11,10.41,30.4,73.6,Moderate Stress
Bird,42.99241,-91.61217,80,120,13,36,95.8,90.9,0.8,20.79,41.9,65.6,Moderate Stress
Fox,46.13848,-117.22282,55,136,13,31,97.2,85.9,1.4,21.19,43.7,66.0,High Stress
Bird,44.59021,-108.68693,71,179,17,29,98.8,88.5,4.83,16.13,35.3,65.9,Moderate Stress
Raccoon,37.46983,-95.30074,65,172,18,35,99.0,92.9,4.47,19.52,38.0,64.4,Moderate Stress
Squirrel,37.58574,-94.3189,50,135,11,28,96.7,92.0,4.77,16.7,31.1,64.4,High Stress
Fox,38.3885,-111.2998,51,132,12,40,96.6,89.9,3.82,19.79,47.8,79.1,High Stress
Wild Boar,39.43488,-94.11021,93,167,15,40,95.5,91.0,4.67,18.07,40.6,78.2,Normal
Snake,38.23738,-99.04866,91,135,14,25,95.5,92.7,1.7,22.75,33.2,75.5,Moderate Stress
Wolf,35.2407,-103.65185,85,124,19,34,96.2,92.2,3.59,19.21,39.7,75.6,Moderate Stress
Hedgehog,39.39581,-96.12823,80,166,20,39,98.6,88.7,1.43,11.84,45.1,79.4,Normal
Fox,43.94363,-106.87997,71,152,18,28,95.1,94.0,4.52,10.67,45.2,65.5,Moderate Stress
Deer,42.36367,-91.41795,64,122,19,36,97.5,89.9,3.79,12.6,45.2,79.6,Moderate Stress
Wolf,45.55502,-90.81575,79,178,13,35,95.3,88.5,3.55,27.42,35.2,74.1,Normal
Rabbit,45.97233,-110.81758,80,142,10,28,96.9,90.0,1.77,15.65,33.2,63.2,High Stress
Wolf,35.62673,-99.19826,61,168,20,39,96.5,91.7,4.38,25.93,39.1,74.5,Moderate Stress
Squirrel,45.16454,-103.51916,73,122,12,38,97.4,91.2,3.04,21.92,49.0,73.2,Moderate Stress
Rabbit,43.74863,-102.46298,52,150,15,36,95.4,87.6,4.22,15.68,45.5,77.4,Moderate Stress
Fox,35.04655,-99.96031,79,175,10,36,95.0,88.0,4.63,28.04,38.8,76.5,Moderate Stress
Rabbit,44.44912,-112.53022,96,134,19,37,95.4,91.4,3.42,15.21,46.0,64.8,Moderate Stress
Raccoon,39.45347,-91.54692,97,169,14,40,98.5,90.8,3.86,24.57,43.9,67.5,High Stress
Bird,44.44533,-108.55675,60,177,10,38,98.7,94.0,0.52,21.43,45.1,66.6,Moderate Stress
Raccoon,42.1437,-100.92506,63,154,15,34,97.6,88.9,1.3,23.04,31.0,77.8,Normal
Wolf,45.58915,-105.79498,95,135,16,37,95.1,86.2,1.49,26.31,49.0,73.2,High Stress
Fox,35.72124,-106.98991,82,160,10,29,98.1,91.1,0.95,18.54,42.8,65.6,Normal
Wild Boar,35.72806,-111.26319,94,147,12,33,95.1,92.2,4.59,21.03,36.2,77.0,Normal
Wolf,35.20556,-90.32051,54,162,13,31,95.3,90.8,3.31,18.21,43.7,65.2,High Stress
Deer,44.6036,-108.13477,89,134,12,32,95.3,93.0,4.38,28.33,35.2,75.5,High Stress
Snake,37.56712,-95.78611,50,133,10,32,98.7,93.3,3.2,19.32,38.2,69.6,High Stress
Wild Boar,46.95389,-106.57369,99,168,15,38,98.7,92.2,2.97,21.58,36.7,60.4,Normal
Wild Boar,39.70926,-115.75449,50,154,18,38,96.4,90.5,2.4,15.65,49.5,64.9,Moderate Stress
Raccoon,42.45221,-110.60932,95,169,17,33,98.3,93.9,2.06,18.84,41.9,77.1,Moderate Stress
Raccoon,39.62923,-108.8625,98,139,12,33,96.5,92.8,3.29,25.87,43.7,69.0,Normal
Wild Boar,40.06786,-98.75252,63,151,15,40,96.0,89.2,4.08,11.49,41.5,65.4,Normal
Raccoon,46.65878,-110.95944,74,156,13,27,96.0,87.5,2.18,21.92,43.0,67.7,Normal
